Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-04-03,30.239999771118164,30.520000457763672,30.239999771118164,30.399999618530273,30.399999618530273,34800,15.460920466636821,57.50835741048904,30.233222559869876,29.714009105345987,30.876301124793134,30.20699996948242,29.53769881417171,0.2821663624381685,0.2759514972558178,0.006214865182350704,0.31665249116492833,12.112192368157256,-36.12909418234486,53.94225338513871,884600.0,TY,XLF,Financial Services,1.0,1602016000
2024-04-04,30.719999313354492,30.790000915527344,30.170000076293945,30.18000030517578,30.18000030517578,36100,14.459086576857597,57.72091737456322,30.249106089266103,29.74091069409831,30.872511938798734,30.242499923706056,29.612487908613378,0.2612430150557863,0.2730098008158115,-0.011766785760025211,0.3140345051278269,13.608510280708051,-35.48391860180374,59.33089206216332,919400.0,TY,XLF,Financial Services,1.0,1602016000
2024-04-05,30.200000762939453,30.469999313354492,30.06999969482422,30.3700008392334,30.3700008392334,29300,14.19189452766633,51.60494725077535,30.242524586019407,29.758129894532722,30.866921316061227,30.256999969482422,29.647078622903617,0.22432314792101948,0.2632724702368531,-0.03894932231583359,0.3358892432782249,3.4359329475376597,-49.67741220972944,61.345802675773896,883300.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-08,30.299999237060547,30.469999313354492,30.260000228881836,30.3799991607666,30.3799991607666,29800,13.583078725558645,55.946369384592224,30.254665181563595,29.782124833540593,30.877791645740505,30.2710000038147,29.664208361888893,0.2079976747012715,0.2522175111297368,-0.044219836428465276,0.3404685557962283,-36.962903955689384,-37.41932228876745,64.21310602657351,912600.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-09,30.489999771118164,30.579999923706055,30.309999465942383,30.469999313354492,30.469999313354492,32600,13.01774976645865,56.169196195327345,30.2666017510115,29.805570885588672,30.880358277288234,30.29399995803833,29.707641638788427,0.19363430481151056,0.24050086986609154,-0.04686656505458098,0.33114930784454455,-38.81597260782108,-53.77366638716248,60.7266853982925,942400.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-10,30.260000228881836,30.299999237060547,30.079999923706055,30.100000381469727,30.100000381469727,30100,12.863306559024407,58.217889471725925,30.28597294742512,29.8316269023638,30.892989558313445,30.316999912261963,29.74101026621048,0.18735379294122723,0.22987145448111868,-0.04251766153989145,0.32678153283876793,-14.526834980411772,-45.28309695436404,56.63101520379234,975000.0,TY,XLF,Financial Services,1.0,1602016000
2024-04-11,30.110000610351562,30.309999465942383,29.989999771118164,30.219999313354492,30.219999313354492,32700,12.041502654531941,48.236039138809,30.268261274476988,29.84215135252482,30.893791770455227,30.314499950408937,29.735208130362647,0.15078249371368813,0.21405366232763257,-0.06327116861394444,0.3312970940394586,-161.16962787838028,-96.59083520094327,50.524923758362604,944900.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-12,29.969999313354492,30.15999984741211,29.559999465942383,29.68000030517578,29.68000030517578,59600,11.591014919841337,51.16076422099947,30.263664897227226,29.85696891961618,30.891846048433308,30.32249994277954,29.753153837125772,0.12998401174885998,0.19723973221187804,-0.06725572046301806,0.3304901369526557,-131.57600398587496,-76.04173910279208,49.614546860835574,977600.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-15,29.760000228881836,30.0,29.420000076293945,29.469999313354492,29.469999313354492,33000,12.424146303364585,40.163406432080976,30.208077793222326,29.85002897395185,30.904478580490398,30.318499946594237,29.732521312698076,0.06913076155989373,0.17161793808148118,-0.10248717652158745,0.3540265448426167,-235.52815545937088,-91.36685415383096,45.932280898911046,918000.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-16,29.469999313354492,29.56999969482422,29.360000610351562,29.489999771118164,29.489999771118164,31700,13.533145685168233,36.84630787661424,30.137784604663484,29.835125850006857,30.95027940669414,30.305999946594238,29.661720486494335,0.003913682872710211,0.138077087039727,-0.13416340416701678,0.3701675004757194,-208.12828738203984,-96.73207747571873,45.10424430148083,885000.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-17,29.489999771118164,29.68000030517578,29.200000762939453,29.239999771118164,29.239999771118164,53900,14.704259002672886,37.376784768035044,30.0760908109925,29.821591493972008,30.998903675321447,30.28799991607666,29.577096156831875,-0.04563144121015128,0.10133538138975133,-0.14696682259990262,0.35872689933264346,-179.0088094246727,-91.82395293767648,44.85660608819122,916700.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-18,29.290000915527344,29.520000457763672,29.229999542236328,29.31999969482422,29.31999969482422,23600,16.157590373642506,33.579864950978845,29.99646309290923,29.79878397542872,31.087378598299388,30.243499946594238,29.399621294889087,-0.10387184963734697,0.06029393518433167,-0.16416578482167865,0.3673892309686209,-154.23174979732497,-97.71434238978793,34.67769664131084,862800.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-19,29.309999465942383,29.520000457763672,29.25,29.270000457763672,29.270000457763672,38400,17.507112360971437,35.82643467580065,29.932038007377326,29.780008121287366,31.117206153414692,30.18799991607666,29.258793678738627,-0.14193631418196517,0.019847885311072296,-0.16178419949303746,0.3618614941513868,-122.76797631203324,-92.8144355447536,26.795280933645117,886400.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-22,29.40999984741211,29.68000030517578,29.260000228881836,29.56999969482422,29.56999969482422,29200,18.760239920634014,35.02897978769822,29.868986812176026,29.760007820757025,31.111616558441252,30.121499919891356,29.13138328134146,-0.1741299356370547,-0.018947678878553104,-0.15518225675850159,0.3552999915522643,-102.4628760376236,-95.59750389267026,26.252360577282836,848000.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-23,29.809999465942383,29.979999542236328,29.68000030517578,29.959999084472656,29.959999084472656,23700,19.11682169593352,43.19861911336994,29.84051184861871,29.752556521700836,31.07418781775928,30.073999881744385,29.07381194572949,-0.1734369086282399,-0.049845524828490466,-0.12359138379974943,0.35992142617667017,-65.7380470575392,-76.72962915867939,32.48417057140106,877200.0,TY,XLF,Financial Services,0.0,1602016000
2024-04-24,29.969999313354492,29.969999313354492,29.739999771118164,29.760000228881836,29.760000228881836,45900,18.17047779790038,51.701153825857325,29.851891585366705,29.760691524162475,31.035551923585597,30.049499797821046,29.063447672056494,-0.13980638734022577,-0.06783769733083753,-0.07196869000938824,0.36349845626491584,0.38236132675285983,-52.20136801268686,30.849959625931785,900900.0,TY,XLF,Financial Services,0.0,1602016000
